Parcela,Ag_Avima_matintaperera,Ag_Avima_sp1,Ag_Gen1_sp1,Bi_Stenostygnus_pusio,Co_Cynorta_bacuzinho,Co_Cynortellula_bimaculata,Co_Eucynortella_duapunctata,Co_Gen1_sp1,Co_Gen1_sp2,Co_Gen2_sp1,Co_Gen2_sp2,Co_Metalibitia_sp1,Co_Paecilaema_manifestum,Co_Paecilaema_marajoara,Co_Paecilaema_sp1,Co_Sibambea_sp1,Co_Taito_oblongatus,Co_Taito_sp1,Co_Taito_spaceinvaders,Cr_Callcosma_sp1,Cr_Gen1_sp1,Cr_Phareicranaus_manauara,Es_Gen1_sp1,Es_Gen2_sp1,Es_Gen2_sp2,Fi_Fissiphallius_martensi,Fi_Fissiphallius_tucupi,Go_Discocyrtus_carvalhoi,Go_Discocyrtus_troll,Ma_Gen1_sp1,Ma_Manaosbia_ducke,Ma_Rhopalocranaus_ricardoi,Ma_Rhopalocranaus_rotundus,Ma_Rhopalocranaus_sp1,Ma_Saramacia_lucasae,Ne_Gen1_sp1,Sa_Gen1_sp1,Sa_Gen2_sp1,Sa_Gen3_sp1,Sa_Maracaynatum_sp1,Sc_Caluga_guarana,Sc_Caluga_vendetta,Sc_Geaya_tostada,Sc_Gen1_sp1_a,Sc_Gen1_sp1_b,Sc_Gen1_sp2,Sc_Gen1_sp3,Sc_Gen1_sp3_b,Sc_Gen1_sp4,Sc_Gen2_sp1,Sc_Gen2_sp2,Sc_Gen3_sp1,Sc_Gen3_sp2,Sc_Prionostemma_catu,St_Auranus_hoeferscovitorum,St_Gen1_sp1,St_Protimesius_frodo,St_Protimesius_jirau,St_Protimesius_longipalpis,St_Protimesius_sp1,St_Stygnidius_sp1,St_Stygnus_aff_lesserti,St_Stygnus_aff_pectinipes,St_Stygnus_armatus,St_Stygnus_pectinipes,St_Stygnus_sp1,Za_Chamaia_sharmani,Za_Gen1_sp1,Za_Gen2_sp1,Za_Pirassunungoleptes_oitomeias,Latitude,Longitude
DU_LO3_0500,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,-2.9450,-59.9619
DU_LO3_1500,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.9435,-59.9531
DU_LO3_2500,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-2.9422,-59.9442
DU_LO4_0500,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2.9539,-59.9606
DU_LO4_1500,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,-2.9524,-59.9516
DU_LO4_2500,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,-2.9511,-59.9428
DU_LO4_3500,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,10,2,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,6,0,2,0,0,0,-2.9497,-59.9339
DU_LO5_0500,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.9628,-59.9593
DU_LO5_1500,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2.9613,-59.9504
DU_LO5_2500,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,-2.9600,-59.9415
